Original Graph6 String:                           Canonical Label:
Otr@PKoE?T_iOoOG_dg_m                             OBXP@dI@_Wt@_U_kWKSgI
O~~em]uj[vmsZTUrfFwN~                             OJ\{|]vm}]YtufxZ\J^`n
P}qtSeLUbaKeQZJabfGmmG~G                          P@LaYtshsjrpikshxLVWH{SS
R}ecZ@OH?o`W@gOWcI_`p?hkHL?GuG                    R@LAHgYHrOH`SggEPCcaC_kYDCu?U_
S~~vVjjve}vmxymlG~Oi~Qm{jfxjNw{z{                 SJ\z{qFj^F~Jxm}Vy|vf^f{i|tN\u]~Hw
S~~vnZjvUtvimj`~nibtTP}[ffwk~wR~{                 SJ\z{]Vh}N~?m|uz|Z~d~n\b\lNYx^hw{
Uv~LnbgfeDShP\G}HuXmePrSemapSxqJWG|ZCVhw          UBWqP\ULYVpMcZhmWzLeLrHrw]FiTvTiq}BSv`JG
Wunneyzx~W]OwBPfcroK~S{OlogtIoyPlPFMIIjWPUvaGu~   W@T`i[yUXnh~~?kGxAVkFzOyYYsrM^LJbdXgxNW[fImPZDt
WvrlvjZj~c\_wBTRcroK~K{HLpGtPo[ikpImQHrWaUn`Cv^   W@T`i[yUY^e~kGqCVgUpVzO}YTtmDMdUnejBxTqFH}@pYlq
WvvdtIJpB_c[LEHPiH?PsE_GAsWKcwBXhGDgOFXWIBV@CZT   W@XYYT[NbAEXOYLHEBSa\iKR_LKRCsEIIAQ`_Gy}KOJQaET
W}mKmIbqD_JJMMBYa]_{??ucC{YKeHKXPadVXOmqQbqEDMp   WJT_xXQWWT_mEPHaUQ|bUtqBjCKpYLG{UMQ`bWSm@MhWB\B
W}nS|QeoOq_nWS]?KcPQUPDgU@_TBG_ug@ei?jCgCwY_?J~   WIXYrHSYHBboJPKqIUCiMiEaaFSX_SChM@iI_aZSAR`qCc\
W}}VNbMtdyWkic?zg]gevHT_TfGo~bPK|xHkJJMolozdq\s   WHPhioZEzZMq_FuWYJV_tjKu]Ff[buT]iFuinPrDnPg{\wK
W}~SvAbp@IcjDgEaj?@BKPCgBbXP@oCz?BLdE@KwGu[?EFZ   W@LZBTETGkfeOyYOF@MXBgaZ?bsKsTUCE?XicT?[aKIoCbf
W~nELU\`aKkXTJ]?@cGUB@KgBSX?wG_sS`DUCGyWO`}?@M^   WJTiWsfSrDbGHH[EH_s^@_eQWDLGE[?NMPSKgIakAhbODUJ
W~~~vnnv|~}gzH}`za|J^ef|~wBJNisn[bn^@^nwez~`V^~   WJ\zz}bo{Zqn`~}k^`nrzy}vrv\z\}y|~mzg|lxL|^Dzr{N
W~~~vnn{vT{nvFnFo^}~Dnw\{^AF|hFz[YZ~DT~wX^~n{B~   WJ\zz}Fa|fy^w~f^Tn]Zn~?^umNs{^j^zx^znmZe|i{|uVr
W~~~vnn{vXyjqnnFs^}~Knw\[^QF|hiz[iznCt~wX^~n{B~   WJ\zz}Lc|rt^l^q~Yn]Nn~Ijy\N\I~kd~lny{v|\|{]ZuNx
W~~~vvu|^\\jvivTvtTyj_~|}ibyiiF}[b{~C{~wU^~_f~~   WJ\zz}Fa{fs^o~~?Vnmzvz\~tn~q~||zB]zPzlq^l]J~Rw^
